,name,Anteil ohne Abschluss
0,Düsseldorf,4.9765094832086305
1,Duisburg,6.423327895595432
2,Essen,6.750288826539033
3,Krefeld,7.517166606432959
4,Mönchengladbach,8.34382871536524
5,Mülheim an der Ruhr,5.6329849012775846
6,Oberhausen,5.943268797838811
7,Remscheid,6.8454481298518
8,Solingen,4.974846282839575
9,Wuppertal,6.177094379639449
10,Kleve,6.449704142011835
11,Mettmann,4.922480620155039
12,Rhein-Kreis Neuss,2.60989010989011
13,Viersen,3.4097261039686972
14,Wesel,5.310410697230181
15,Bonn,2.811707766766536
16,Köln,5.115772808232733
17,Leverkusen,3.5997882477501326
18,Städteregion Aachen (einschl. Stadt Aachen),5.067184717500404
20,Düren,5.406259879860892
21,Rhein-Erft-Kreis,3.5903472630959388
22,Euskirchen,5.139005897219882
23,Heinsberg,5.3324968632371395
24,Oberbergischer Kreis,3.7624294544477292
25,Rheinisch-Bergischer Kreis,3.7173476222371065
26,Rhein-Sieg-Kreis,4.101622283440466
27,Bottrop,4.391891891891892
28,Gelsenkirchen,9.589480436177036
29,Münster,5.657041838538598
30,Borken,4.440154440154441
31,Coesfeld,4.346302138100246
32,Recklinghausen,6.9015304649148135
33,Steinfurt,4.13236746789595
34,Warendorf,3.726541554959786
35,Bielefeld,6.149918774657693
36,Gütersloh,4.783549783549783
37,Herford,4.173059220619822
38,Höxter,5.39906103286385
39,Lippe,4.852941176470589
40,Minden-Lübbecke,6.057760037567504
41,Paderborn,5.502206073189722
42,Bochum,5.9933690385105844
43,Dortmund,7.581402883525028
44,Hagen,5.359368508516826
45,Hamm,7.5840145322434145
46,Herne,8.188882247459652
47,Ennepe-Ruhr-Kreis,6.26865671641791
48,Hochsauerlandkreis,5.009276437847866
49,Märkischer Kreis,6.254796623177283
50,Olpe,4.83170466883822
51,Siegen-Wittgenstein,4.835103409726104
52,Soest,4.566094853683148
53,Unna,5.738362760834671
