id,ohne Abschluss
05111,286
05112,315
05113,409
05114,208
05116,265
05117,97
05119,132
05120,97
05122,89
05124,233
05154,218
05158,254
05162,133
05166,122
05170,278
05314,122
05315,517
05316,68
05334,313
05358,171
05362,183
05366,122
05370,170
05374,140
05378,111
05382,268
05512,52
05513,299
05515,192
05554,230
05558,124
05562,478
05566,251
05570,139
05711,265
05754,221
05758,136
05762,115
05766,198
05770,258
05774,212
05911,235
05913,468
05914,129
05915,167
05916,137
05954,210
05958,162
05962,326
05966,89
05970,173
05974,181
05978,286
